run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_7,chain_len,no ID,high,136,messy no ID,delocalized/messy crosses,none,very broad peaks and overlapping ones,fluctuating simulation box,BCC,1.3,8,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture FCC or BCT (prob BCT),interlocked hex and crosses,mixture is not so obvious compared to other cases,"broad peaks, seems like a liquid towards the larger distances ",none,BCC,1.4,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,136,liquid,homogeneous,none,liquidy,none,BCC,1.6,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_8_chn_num_3_linker_8,chain_len,no ID,high,136,messy lattice no ID,very messy interlocked hex,none,has BCC peaks but with different amplitudes,seems to have some mixture of another lattice but it is unclear,BCT,1.2,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,very messy interlocked hex,none,"FCC peaks, broad peaks",none,BCT,1.4,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.6_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,very messy interlocked hex,none,"FCC peaks, broad peaks",none,BCT,1.6,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,128,jammed,homogeneous,"",jammed,"",FCC,1.2,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,128,jammed,homogeneous,"",jammed,"",FCC,1.4,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.6_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,128,jammed,homogeneous,"",jammed,"",FCC,1.6,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.2_eps_-70_EE_8_chn_num_3_linker_8,chain_len,HEX,,136,HEX,honeycomb sublattice,"coord num 2, double coord 8",pristine,overlapping ACs,SC,0.2,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,tracing square,none,pristine,none,SC,0.4,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,tracing square,none,pristine,none,SC,0.6,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture,discretized square mixed with something else,none,almost pristine but with wierd peak transitions,very mixed regions,SC,0.8,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,no ID,,136,lattice no ID,offset hexes,none,almost pristine but with wierd peak transitions,offset stacking ABAB,SC,1,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.2_eps_-70_EE_6_chn_num_3_linker_8,chain_len,HEX,,136,HEX,honeycomb sublattice,coord num 8; FCC/SC peaks; looks HEX from a certain axis,almost pristine,none,BCC,0.2,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,peaks overlapping a little bit,pristine,none,BCC,0.2,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture (SC + something else),"",coord num 6,wierd tails on almost pristine peaks,"",BCC,0.3,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,BCC,0.3,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture (SC + something else),squares + zig-zag GB,coord num 6,wierd tails on almost pristine peaks,none,BCC,0.4,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,BCC,0.4,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture (SC + something else),"","",overlapping pristine peaks,"",BCC,0.5,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,BCC,0.5,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture (BCC + something else),"",two phases visible n_y direction,overlapping pristine peaks,"",BCC,0.6,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,BCC,0.6,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture,"",coord num 4.5,"",stabilizes until frame 26,BCC,0.75,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,HCP,,136,HCP,interlocking circles and arrows,double coord num 6; looks like ACs are As in NiAs: http://wwwchem.uwimona.edu.jm/courses/nias.html,almost pristine,"solidifies around from frame 55. 
Peaks: 
10.45
11.25
13.45
14.95
19.15
20.65",BCC,0.7,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,,136,mixture,"",coord num 4-6; stabilizes at frame 63,"","",BCC,0.7,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.85_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture,"",coord num 4; stabilizes at frame 65,"","",BCC,0.85,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_8_chn_num_3_linker_8,chain_len,,,136,no lattice ID,"",coord num 4,"",shearing simulation box,BCC,0.8,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.95_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,high,136,mixture,"crosses, interlocking hexes(messy and very messy)",doesn't settle until frame 45,broad-ish peaks,mixture,BCC,0.95,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,messy crosses,coord num almost 6-8,almost pristine; broad peaks,small regions of very messy crosses,BCC,1,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,high,136,mixture,very messy interlocking hexes with very neat crosses,stabilizes frame 34,almost pristine; broad peaks,GB with sublattice similar to BCT,BCC,1.2,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,messy crosses and homogenous slab,GB at PBC condition,almost pristine; broad peaks,"",BCC,1.5,7,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,high,261,mixture,"some neat interlocking hexes, some very messy",coord num 4-5,"","",BCT,1,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_7_chn_num_3_linker_8,chain_len,crack,,136,crystal with cracks,"",coord num 6-7,BCC peaks; almost pristine,"",BCT,1.1,7,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy sublattices (crosses and interlocking hexes),"coord num 12, FCC peaks","broad, almost pristine peaks",none,BCT,1.1,9,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,,136,mixture,"region dependent, ",coord num 6,"broad, almost pristine peaks","",BCT,1.2,7,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,"messy sublattice, interlocking hexes",coord num 12,"FCC peaks, broad, almost pristine",none,BCT,1.2,9,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.45_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,"very messy sublattice, interlocking hexes",coord num 12,"FCC peaks, broad, almost pristine",none,BCT,1.45,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,"region dependent, neat to messy interlocking hexes (from one view: neat offset hexes + extremely messy crosses)",shears/stabilizes at frame 60,broad peaks,box shears and unites a mismatching sublattice,BCT,1.4,7,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,"very messy sublattice, interlocking hexes",coord num 12,FCC peaks; broad peaks,none,BCT,1.4,9,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.6_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,high,136,FCC,very messy interlocking hexes,"coord num 12, liquidy for the first couple frames","FCC peaks, broad peaks","",BCT,1.6,9,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,FCC,0.2,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,FCC,0.3,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,FCC,0.4,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,FCC,0.5,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,pristine,none,FCC,0.6,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_7_chn_num_3_linker_8,chain_len,,medium,136,maybe mixure of same crytal phase,neat and messy sublattices (offset hexes),"",overlapping peaks,messy bits do not have a percievable speed difference than in neat regions,FCC,0.7,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,,medium,136,maybe mixure of same crytal phase,neat and messy sublattices (offset hexes),coord num 6-7,"BCC peaks, almost pristine",messy bits do have a percievable speed difference than in neat regions,FCC,1,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,127,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.1,9,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,,medium,136,maybe mixure of same crytal phase,"neat and messy sublattices (offset hexes, messy crosses)",coord num 6,"BCC peaks, broad peaks; almost pristine",messy bits do have a percievable speed difference than in neat regions,FCC,1.2,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,123,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.2,9,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,115,FCC,messy Xs,coord num 12,"FCC peaks, broad peaks",get slurm file,FCC,1.4,9,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,mixture,medium,136,"mixture, maybe half BCT and half BCC","neat and messy sublattices (offset hexes, messy crosses)",stabilizes at frame 60;also looks like FCC from faces but BCC/BCT from one edge,"BCC peaks, wrong amplitudes, broad peaks; almost pristine",regions of messy sublattices combines to form a bigger one,FCC,1.5,7,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.25_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,"mixture, SC and HEX ",hexes and lines (stripes!!),we are able to observe the creation of three GBs; first 10 frames (still hex) coord number is 2(first peak)+6(second peak),"almost pristine, strange peaks ","starts as HEX, starts converting to stripes of SC",SC,0.25,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.2_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,low,136,SC,"squares, appearance of very localized points (2 points) on some sides of the squares alluding to either their being an excess or lack of small particles  ",coord num 6,pristine,"",SC,0.2,7,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.2_eps_-70_EE_9_chn_num_3_linker_8,chain_len,SC,low,136,SC,"squares, appearance of very localized points (3 points) per side",coord num 6,pristine,"",SC,0.2,9,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,medium,136,SC,"squares, appearance of very localized points (2 points) per side and messy sides, maybe there is a lack of small particles",coord num 6,pristine,"",SC,0.4,7,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_9_chn_num_3_linker_8,chain_len,mixture,,136,"mixture, SC + something else",squares and something else,coord num 5.666,"almost pristine, small bumps inbetween peaks, some are overlapping",none,SC,0.4,9,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,almost pristine,none,SC,0.6,7,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_9_chn_num_3_linker_8,chain_len,mixture,,136,"mixture, SC + something else",squares and something else,coord num 5.3,"almost pristine, small bumps inbetween peaks, some are overlapping",none,SC,0.6,9,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.75_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,"squares, messy honeycombs",ondulating simulation box,almost pristine,none,SC,0.75,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_7_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,coord num 6,almost pristine,none,SC,0.8,7,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.8_eps_-70_EE_9_chn_num_3_linker_8,chain_len,fluid,high,136,"jammed, glass, some parts SC",very messy,none,two peaks are almost pristine and then transition to a liquid,none,SC,0.8,9,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_7_chn_num_3_linker_8,chain_len,crack,medium,136,cracked SC,squares and messy at GB,coord num 5.2,"almost pristine, small peaks accompanying regular (large amplitude) peaks ",diagonal GB,SC,1,7,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.0_eps_-70_EE_9_chn_num_3_linker_8,chain_len,fluid,,136,condensed liquid,homogenous with traces of sublattice,none,liquid with two prinicipal BCC peaks,none,SC,1,9,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.65_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture; maybe jammed lattice,"broad honeycomb / broad totem poles
 | things","",clear peaks with extra hump things,none,BCC,0.65,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,low,136,BCC,very neat crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,0.8,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,low,136,BCC,very neat crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,0.9,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,low,136,BCC,very neat crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,1,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,low,136,BCC,very neat crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,1.1,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,low,136,BCC,very neat crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,1.2,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCC,1.4,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.55_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none,BCC,1.55,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.57_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none,BCC,1.57,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",simulation box shears and the BCC unit cells seem to spread out in the simulation box and oriented in the [111],BCC,1.5,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.62_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none,BCC,1.62,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.65_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none,BCC,1.65,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",none,BCC,1.6,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,num coord of first and second nearest neighbors 14,almost pristine,none,BCT,1.1,6,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,num coord of first and second nearest neighbors 14,"broad peaks, almost pristine",simulation box shears and the BCC unit cells seem to spread out in the simulation box and oriented in the [111]; visually looks like a BCT,BCT,1.3,6,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.55_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses/interlocking circles,num coord of first and second nearest neighbors 14,broad-ish peaks,"really visually looks like a BCT, but peaks are BCC (17, 41, 17); triclinic box",BCT,1.55,6,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,double coord num 14,broad-ish peaks,"really visually looks like a BCT, but peaks are BCC (17, 41, 17); triclinic box",BCT,1.5,6,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_7_chn_num_3_linker_8,chain_len,,high,120,"polycrystal BCC, different sublattice in each part ",messy interlocking hexes and very messy region,num coord of first and second nearest neighbors 13.19; STILL RUNNING WHEN CHECKED,"very broad peaks, bearly discernible BCC peaks","",BCT,1.5,7,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.65_eps_-70_EE_7_chn_num_3_linker_8,chain_len,fluid,high,128,liquid,delocalized,STILL RUNNING WHEN CHECKED,liquidy,none,BCT,1.65,7,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.2_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,num coord 6,pristine,"sides with two points and others with more that later appear to have two points, there is a lack of small particles",SC,0.2,6,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,num coord 6,pristine,"sides with two points and others with more that later appear to have two points, there is a lack of small particles",SC,0.3,6,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.4_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,num coord 6,pristine,"sides with two points and others with more that later appear to have two points, there is a lack of small particles",SC,0.4,6,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.6_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,,136,mixture; maybe sort of jammed,arrows and something/honeycombs,"",almost pristine  with werird bumps,tricilinc box,SC,0.6,6,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture,,136,mixture,squares and line of distorted squares,coord num 5.66,SC peaks; small peaks shouldering large peaks,diagonal line defect,BCC,0.3,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.5_eps_-70_EE_10_chn_num_3_linker_8,chain_len,no ID,low,136,lattice no ID,localized distribution,num coord 4,pristine peaks,"",BCC,0.5,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.67_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,low,136,mixture of possibly two crystal structures,localized distributions,num coord of two neighbors 6,defined peaks with many shouldering peaks,"two grains boundaries, stabilizes at frame 18",BCC,0.67,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture,high,136,mixture,very messy,"",two defined peaks (possibly SC) rest is liquid like,looks jammed and maybe has many crystal phases jumbled together,BCC,0.7,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium_low,136,BCC,neat crosses,num coord 8 or double coord 14,almost pristine,none,BCC,0.75,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.77_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium_low,136,BCC,neat crosses,num coord 8 or double coord 14,almost pristine,none,BCC,0.77,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_10_chn_num_3_linker_8,chain_len,mixture,,136,mixture of lattice no ID,"",num coord 3.8,"shouldering peaks, discernible peaks","first transition 50, second 77, both are accompanied with box shearing ",BCC,0.9,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.0_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,medium,136,ordered liquid,messy,"","two discernible peaks, rest is liquid like",there seems to be a very messy sublattice but it is debatable,BCC,1,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy interlocking hexes,coord num 12,"braod peaks, FCC peaks",none,BCC,1.2,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.341_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,double coord 14,almost pristine,none,BCC,1.341,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,,136,liquid,"","",liquid,"",BCC,1.4,10,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.67_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,double coord 14,broad peaks,none,BCC,1.67,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.69_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,double coord 14,broad peaks,box shears into triclinic box but seems to have a BCC crystal within it,BCC,1.69,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,double coord 14,broad peaks,none,BCC,1.7,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.71_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,double coord 14,broad peaks,none,BCC,1.71,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.72_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,double coord 14,broad peaks,none,BCC,1.72,6,3,8-BCC
